"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number"
"KC","2017-11-01","87.5","-1.5421","5.5028","Lance McCullers Jr.",641355,621121,"strikeout","swinging_strike",,,,,"14","Cody Bellinger strikes out swinging.  ","W","L","R","LAD","HOU","S","null","null",2,2,2017,"1.2828","0.3244","1.1782","2.0025","null","608369.00","457759.00",0,3,"Bot","null","null",,,435263,,"171102_013752",,,,,,,"3.5883","1.7930","null","null","null","86.1470","2852","5.5970",526517,621121,435263,493329,514888,608324,621043,503556,543807,502210,"54.9028","0.000","0.000","0.00",1,0,0,"null",27,"5"
"KC","2017-11-01","87.7","-1.7196","5.3808","Lance McCullers Jr.",641355,621121,"null","swinging_strike",,,,,"11","null","W","L","R","LAD","HOU","S","null","null",2,1,2017,"0.6677","0.2366","-0.8563","3.0121","null","608369.00","457759.00",0,3,"Bot","null","null",,,435263,,"171102_013723",,,,,,,"3.8138","1.9160","null","null","null","86.7210","2588","5.6820",526517,621121,435263,493329,514888,608324,621043,503556,543807,502210,"54.8180","0.000","0.000","null","null","null","null","null",27,"4"
"KC","2017-11-01","87.5","-1.5783","5.4852","Lance McCullers Jr.",641355,621121,"null","blocked_ball",,,,,"13","null","W","L","R","LAD","HOU","B","null","null",1,1,2017,"0.9512","-0.0841","-0.2982","0.4919","null","608369.00","457759.00",0,3,"Bot","null","null",,,435263,,"171102_013656",,,,,,,"3.7523","1.8340","null","null","null","86.4630","2740","5.6440",526517,621121,435263,493329,514888,608324,621043,503556,543807,502210,"54.8560","0.000","0.000","null","null","null","null","null",27,"3"
"KC","2017-11-01","88.2","-1.6329","5.3229","Lance McCullers Jr.",641355,621121,"null","ball",,,,,"14","null","W","L","R","LAD","HOU","B","null","null",0,1,2017,"0.7289","-0.4290","1.2590","0.8142","null","608369.00","457759.00",0,3,"Bot","null","null",,,435263,,"171102_013636",,,,,,,"3.7318","1.8135","null","null","null","86.9280","2700","5.6650",526517,621121,435263,493329,514888,608324,621043,503556,543807,502210,"54.8344","0.000","0.000","null","null","null","null","null",27,"2"
"KC","2017-11-01","88.5","-1.6121","5.5748","Lance McCullers Jr.",641355,621121,"null","swinging_strike",,,,,"14","null","W","L","R","LAD","HOU","S","null","null",0,0,2017,"0.3079","0.3367","0.2809","1.4481","null","608369.00","457759.00",0,3,"Bot","null","null",,,435263,,"171102_013615",,,,,,,"3.8343","1.8545","null","null","null","87.3000","2659","5.7210",526517,621121,435263,493329,514888,608324,621043,503556,543807,502210,"54.7786","0.000","0.000","null","null","null","null","null",27,"1"
"FF","2017-11-01","93.9","-1.5137","5.5747","Lance McCullers Jr.",457759,621121,"hit_by_pitch","hit_by_pitch",,,,,"11","Justin Turner hit by pitch.    Corey Seager to 2nd.  ","W","R","R","LAD","HOU","B","null","null",0,0,2017,"-1.0954","1.0848","-1.8497","4.3356","null","null","608369.00",0,3,"Bot","null","null",,,435263,,"171102_013439",,,,,,,"3.4671","1.7035","null","null","null","93.5170","2291","6.1330",526517,621121,435263,493329,514888,608324,621043,503556,543807,502210,"54.3664","0.000","0.000","0.70",1,0,0,"null",26,"1"
"KC","2017-11-01","88.1","-1.5923","5.5614","Lance McCullers Jr.",608369,621121,"single","hit_into_play_no_out",,,,,"5","Corey Seager singles on a sharp line drive to center fielder George Springer.  ","W","L","R","LAD","HOU","X","null","line_drive",1,2,2017,"1.0976","-0.2578","-0.0152","2.6835","null","null","null",0,3,"Bot","142.24","74.53",,,435263,,"171102_013346",,,,,,,"3.4470","1.5406","221","105.9","11.9290","86.7200","2811","5.3430",526517,621121,435263,493329,514888,608324,621043,503556,543807,502210,"55.1568","0.817","0.852","0.90",1,1,0,4,25,"5"
"CH","2017-11-01","90.5","-1.8221","5.3083","Lance McCullers Jr.",608369,621121,"null","ball",,,,,"13","null","W","L","R","LAD","HOU","B","null","null",0,2,2017,"-1.1864","0.7539","-0.6432","0.0580","null","null","null",0,3,"Bot","null","null",,,435263,,"171102_013319",,,,,,,"3.3851","1.5611","null","null","null","89.0320","2187","5.5930",526517,621121,435263,493329,514888,608324,621043,503556,543807,502210,"54.9067","0.000","0.000","null","null","null","null","null",25,"4"
"KC","2017-11-01","87.7","-1.6882","5.4590","Lance McCullers Jr.",608369,621121,"null","foul",,,,,"14","null","W","L","R","LAD","HOU","S","null","null",0,2,2017,"0.7448","0.1760","1.5582","2.3087","null","null","null",0,3,"Bot","null","null",,,435263,,"171102_013300",,,,,,,"3.4060","1.6022","168","103.9","6.9905","86.6380","2731","5.4480",526517,621121,435263,493329,514888,608324,621043,503556,543807,502210,"55.0516","0.000","0.000","null","null","null","null",4,25,"3"
"FF","2017-11-01","94.3","-1.5361","5.6689","Lance McCullers Jr.",608369,621121,"null","called_strike",,,,,"6","null","W","L","R","LAD","HOU","S","null","null",0,1,2017,"-1.0267","1.4607","0.5470","2.2698","null","null","null",0,3,"Bot","null","null",,,435263,,"171102_013242",,,,,,,"3.5495","1.5817","null","null","null","93.0750","2257","5.8710",526517,621121,435263,493329,514888,608324,621043,503556,543807,502210,"54.6282","0.000","0.000","null","null","null","null","null",25,"2"
