"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","hits","abs","exit_velocity","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","extension"
"381","443558","Nelson Cruz","2732","13.95","0.416","0.397","0.340","0.813","156","375","95.9","11.5","2206","89.01","88.50","0","381","null","-0.5","6.03"
"248","519317","Giancarlo Stanton","1892","13.11","0.394","0.411","0.317","0.805","97","246","95.1","12.0","2154","88.15","87.60","0","248","null","-0.6","6.06"
"99","542979","Keon Broxton","1067","9.28","0.434","0.394","0.378","0.828","43","99","95.0","13.9","2124","88.83","88.89","0","99","null","0.1","6.30"
"266","407812","Matt Holliday","1563","17.02","0.336","0.309","0.280","0.645","89","265","94.7","9.2","2205","88.81","88.50","0","266","null","-0.3","6.05"
"437","408234","Miguel Cabrera","2517","17.36","0.418","0.337","0.358","0.755","181","433","94.5","13.6","2171","88.63","88.32","0","437","null","-0.3","6.09"
"208","476883","Pedro Alvarez","1552","13.40","0.388","0.413","0.312","0.801","80","206","94.2","13.3","2129","88.21","87.73","0","208","null","-0.5","6.05"
"393","120074","David Ortiz","2472","15.90","0.402","0.407","0.331","0.808","155","386","94.2","15.5","2205","89.45","88.81","0","393","null","-0.7","5.99"
"128","596142","Gary Sanchez","941","13.60","0.460","0.571","0.352","1.032","58","126","94.1","6.0","2182","87.64","87.14","0","128","null","-0.5","5.86"
"176","452095","Tyler Flowers","1316","13.37","0.436","0.238","0.399","0.674","75","172","94.0","11.2","2186","88.61","88.09","0","176","null","-0.5","6.04"
"395","434778","Kendrys Morales","2468","16.00","0.372","0.292","0.315","0.664","145","390","93.9","12.3","2139","87.85","87.61","0","395","null","-0.2","6.05"
"386","444432","Mark Trumbo","2623","14.72","0.379","0.431","0.295","0.810","146","385","93.9","16.3","2195","88.79","88.20","0","386","null","-0.6","6.00"
"140","570267","Domingo Santana","1182","11.84","0.439","0.331","0.388","0.770","61","139","93.8","9.5","2131","88.95","88.52","0","140","null","-0.4","6.06"
"289","475582","Ryan Zimmerman","1829","15.80","0.306","0.222","0.263","0.528","87","284","93.7","9.6","2182","88.83","88.41","0","289","null","-0.4","6.02"
