Name,PA,Pitches,BB/K,OBP,ISO,wOBA,O-Swing%,Contact%,GB/FB,Pull%,Oppo%,Soft%,Med%,Hard%,playerid
Kris Bryant,699,2699,0.49,0.385,0.262,0.396,0.308,0.733,0.67,0.467,0.197,0.17,0.427,0.403,15429
Anthony Rizzo,676,2656,0.69,0.385,0.252,0.391,0.322,0.82,0.93,0.456,0.218,0.167,0.49,0.343,3473
Dexter Fowler,551,2429,0.64,0.393,0.171,0.367,0.194,0.794,1.14,0.395,0.226,0.175,0.519,0.306,4062
Willson Contreras,283,1129,0.39,0.357,0.206,0.363,0.348,0.707,1.96,0.425,0.231,0.177,0.5,0.323,11609
Ben Zobrist,631,2655,1.17,0.386,0.174,0.36,0.205,0.883,1.57,0.483,0.169,0.154,0.521,0.325,7435
Chris Coghlan,128,512,0.85,0.391,0.136,0.343,0.257,0.787,1.95,0.474,0.18,0.231,0.5,0.269,6878
Tommy La Stella,169,698,0.67,0.357,0.135,0.333,0.284,0.798,0.98,0.446,0.248,0.149,0.529,0.322,12371
Jorge Soler,264,1068,0.47,0.333,0.198,0.333,0.255,0.685,0.92,0.427,0.22,0.189,0.5,0.311,14221
David Ross,205,851,0.56,0.338,0.217,0.326,0.261,0.72,0.78,0.405,0.248,0.19,0.463,0.347,1551
Albert Almora,117,394,0.25,0.308,0.179,0.325,0.409,0.795,1.5,0.402,0.228,0.12,0.598,0.283,14109
Addison Russell,598,2336,0.41,0.321,0.179,0.316,0.316,0.737,1.09,0.442,0.217,0.237,0.47,0.293,14106
Javier Baez,450,1683,0.14,0.314,0.15,0.316,0.429,0.724,1.21,0.456,0.199,0.187,0.522,0.291,12979
Matt Szczur,200,760,0.33,0.312,0.141,0.305,0.315,0.78,1.13,0.381,0.259,0.252,0.524,0.225,11255
Miguel Montero,284,1134,0.66,0.327,0.141,0.299,0.264,0.786,1.51,0.422,0.276,0.189,0.541,0.27,3364
Jason Heyward,592,2281,0.58,0.306,0.094,0.282,0.261,0.855,1.39,0.407,0.227,0.271,0.466,0.264,4940
